ticker,status,n_rows,first_date,last_date,market_cap_missing_rate,float_market_cap_missing_rate,source,error_message
601868,success,1033,2021-09-28,2025-12-31,0.0,0.0,akshare_stock_value_em,
601872,success_with_fallback_fill,2009,2016-01-04,2025-12-31,0.0,0.03334992533598805,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601877,success_with_fallback_fill,2023,2016-01-09,2025-12-31,0.0,0.04003954522985665,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601878,success_with_fallback_fill,1990,2017-06-26,2025-12-31,0.0,0.024120603015075376,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601881,success_with_fallback_fill,2010,2017-01-27,2025-12-31,0.0,0.03383084577114428,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601888,success_with_fallback_fill,2023,2016-01-09,2025-12-31,0.0,0.04003954522985665,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601898,success_with_fallback_fill,2009,2016-01-04,2025-12-31,0.0,0.03334992533598805,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601899,success_with_fallback_fill,2015,2016-01-03,2025-12-31,0.0,0.036228287841191066,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601901,success_with_fallback_fill,2034,2016-01-03,2025-12-31,0.0,0.04523107177974434,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601916,success,1481,2019-11-26,2025-12-31,0.0,0.0,akshare_stock_value_em,
601919,success_with_fallback_fill,2009,2016-01-04,2025-12-31,0.0,0.03334992533598805,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601928,success_with_fallback_fill,2034,2016-01-03,2025-12-31,0.0,0.04523107177974434,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601933,success_with_fallback_fill,2023,2016-01-09,2025-12-31,0.0,0.04003954522985665,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601939,success_with_fallback_fill,2009,2016-01-04,2025-12-31,0.0,0.03334992533598805,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601958,success_with_fallback_fill,2015,2016-01-03,2025-12-31,0.0,0.036228287841191066,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601966,success_with_fallback_fill,2051,2016-07-06,2025-12-31,0.0,0.05314480741101901,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601969,success_with_fallback_fill,2064,2016-01-03,2025-12-31,0.0,0.05910852713178295,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601985,success_with_fallback_fill,2064,2016-01-03,2025-12-31,0.0,0.05910852713178295,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601988,success_with_fallback_fill,2003,2016-01-03,2025-12-31,0.0,0.030454318522216674,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601989,fallback,393,2016-01-07,2025-09-04,0.0,1.0,akshare_baidu_fallback_inferred_1e8,eastmoney: TypeError: 'NoneType' object is not subscriptable | TypeError: 'NoneType' object is not subscriptable | TypeError: 'NoneType' object is not subscriptable
601990,success,1835,2018-06-13,2025-12-31,0.0,0.0,akshare_stock_value_em,
601991,success_with_fallback_fill,2009,2016-01-04,2025-12-31,0.0,0.03334992533598805,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601992,success_with_fallback_fill,2023,2016-01-09,2025-12-31,0.0,0.04003954522985665,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601995,success,1256,2020-11-02,2025-12-31,0.0,0.0,akshare_stock_value_em,
601997,success_with_fallback_fill,2042,2016-08-20,2025-12-31,0.0,0.04897159647404505,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601998,success_with_fallback_fill,2009,2016-01-04,2025-12-31,0.0,0.03334992533598805,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
603000,success_with_fallback_fill,2034,2016-01-03,2025-12-31,0.0,0.04523107177974434,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
603019,success_with_fallback_fill,2064,2016-01-03,2025-12-31,0.0,0.05910852713178295,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
603087,success,1340,2020-06-29,2025-12-31,0.0,0.0,akshare_stock_value_em,
603156,success,1913,2018-02-12,2025-12-31,0.0,0.0,akshare_stock_value_em,
603160,success_with_fallback_fill,2030,2016-10-19,2025-12-31,0.0,0.04334975369458128,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
603185,success,1700,2018-12-28,2025-12-31,0.0,0.0,akshare_stock_value_em,
603195,success,1436,2020-02-06,2025-12-31,0.0,0.0,akshare_stock_value_em,
603233,success_with_fallback_fill,1981,2017-08-01,2025-12-31,0.0,0.019687026754164564,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
603259,success,1861,2018-05-08,2025-12-31,0.0,0.0,akshare_stock_value_em,
603260,success_with_fallback_fill,1958,2017-11-01,2025-12-31,0.0,0.008171603677221655,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
603288,success_with_fallback_fill,2046,2016-01-07,2025-12-31,0.0,0.05083088954056696,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
603290,success,1438,2020-02-04,2025-12-31,0.0,0.0,akshare_stock_value_em,
603296,success,583,2023-08-08,2025-12-31,0.0,0.0,akshare_stock_value_em,
603338,success_with_fallback_fill,2064,2016-01-03,2025-12-31,0.0,0.05910852713178295,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
603369,success_with_fallback_fill,2064,2016-01-03,2025-12-31,0.0,0.05910852713178295,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
603392,success,1378,2020-04-29,2025-12-31,0.0,0.0,akshare_stock_value_em,
603486,success,1847,2018-05-28,2025-12-31,0.0,0.0,akshare_stock_value_em,
603501,success_with_fallback_fill,2003,2017-05-05,2025-12-31,0.0,0.030454318522216674,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
603517,success_with_fallback_fill,2000,2017-03-18,2025-12-31,0.0,0.029,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
