strategy_name,cost_bps,nav,drawdown
ICIR + weekly 8w_mean eta=0.5 clip_0.8,20,1.3048600269730375,-0.06084020600688078
ICIR + weekly 8w_mean eta=0.5 no_clip,0,1.3656677905516283,-0.04077854419588478
ICIR + weekly 8w_mean eta=0.5 no_clip,5,1.3428388171914265,-0.04143251788154001
ICIR + weekly 8w_mean eta=0.5 no_clip,10,1.3203855878782853,-0.04208615894186363
ICIR + weekly 8w_mean eta=0.5 no_clip,20,1.2765821063443155,-0.0687976048299912
ICIR + weekly 8w_mean eta=1.0 clip_0.5,0,1.4510228495408537,-0.03880822087764835
ICIR + weekly 8w_mean eta=1.0 clip_0.5,5,1.4269411101062663,-0.039463195553724906
ICIR + weekly 8w_mean eta=1.0 clip_0.5,10,1.4032529502623792,-0.04011783726911711
ICIR + weekly 8w_mean eta=1.0 clip_0.5,20,1.3570321368821079,-0.04142612226678777
ICIR + weekly 8w_mean eta=1.0 clip_0.7,0,1.3868227115012999,-0.03952013431918533
ICIR + weekly 8w_mean eta=1.0 clip_0.7,5,1.364216341374546,-0.040185163379917066
ICIR + weekly 8w_mean eta=1.0 clip_0.7,10,1.3419729046088458,-0.04095232244360003
ICIR + weekly 8w_mean eta=1.0 clip_0.7,20,1.2985519703438246,-0.06740654090733655
ICIR + weekly 8w_mean eta=1.0 clip_0.8,0,1.387465465563314,-0.04077854419588489
ICIR + weekly 8w_mean eta=1.0 clip_0.8,5,1.3651020808613488,-0.04143251788154001
ICIR + weekly 8w_mean eta=1.0 clip_0.8,10,1.3430936969353329,-0.04208615894186363
ICIR + weekly 8w_mean eta=1.0 clip_0.8,20,1.300119820856932,-0.06425192136903624
ICIR + weekly 8w_mean eta=1.0 no_clip,0,1.46297439804276,-0.03880822087764835
ICIR + weekly 8w_mean eta=1.0 no_clip,5,1.4380264148671538,-0.039463195553724906
ICIR + weekly 8w_mean eta=1.0 no_clip,10,1.413497225596938,-0.04011783726911711
ICIR + weekly 8w_mean eta=1.0 no_clip,20,1.365667665070082,-0.04142612226678777
ICIR + weekly 8w_mean eta=1.5 clip_0.5,0,1.4149469093563034,-0.03888204028376441
ICIR + weekly 8w_mean eta=1.5 clip_0.5,5,1.3914613521787036,-0.03955776144453038
ICIR + weekly 8w_mean eta=1.5 clip_0.5,10,1.3683596955365243,-0.040233127622686826
ICIR + weekly 8w_mean eta=1.5 clip_0.5,20,1.3232834662860085,-0.0525141953535585
ICIR + weekly 8w_mean eta=1.5 clip_0.7,0,1.3616128176379194,-0.03959389905043986
ICIR + weekly 8w_mean eta=1.5 clip_0.7,5,1.3395634287414462,-0.04502542515709629
ICIR + weekly 8w_mean eta=1.5 clip_0.7,10,1.317865702715424,-0.05818065537704953
ICIR + weekly 8w_mean eta=1.5 clip_0.7,20,1.275503233452359,-0.0839596722076088
ICIR + weekly 8w_mean eta=1.5 clip_0.8,0,1.381397220890918,-0.04085221228142133
ICIR + weekly 8w_mean eta=1.5 clip_0.8,5,1.3591701993259477,-0.041526911243884634
ICIR + weekly 8w_mean eta=1.5 clip_0.8,10,1.3372953959619556,-0.04220125557472265
ICIR + weekly 8w_mean eta=1.5 clip_0.8,20,1.294580545282146,-0.06823875888428699
ICIR + weekly 8w_mean eta=1.5 no_clip,0,1.4317672396150813,-0.038882040283764296
ICIR + weekly 8w_mean eta=1.5 no_clip,5,1.4069328394286138,-0.03955776144453049
ICIR + weekly 8w_mean eta=1.5 no_clip,10,1.3825225415618534,-0.040233127622686715
ICIR + weekly 8w_mean eta=1.5 no_clip,20,1.3349458540026449,-0.041582795526594496
ICIR + weekly 8w_mean eta=2.0 clip_0.5,0,1.424769993397836,-0.03888204028376452
ICIR + weekly 8w_mean eta=2.0 clip_0.5,5,1.4011449196025925,-0.03955776144453038
ICIR + weekly 8w_mean eta=2.0 clip_0.5,10,1.3779056305343882,-0.040233127622686826
ICIR + weekly 8w_mean eta=2.0 clip_0.5,20,1.3325596942277307,-0.05450957320768601
ICIR + weekly 8w_mean eta=2.0 clip_0.7,0,1.368145185139716,-0.039593899050439973
ICIR + weekly 8w_mean eta=2.0 clip_0.7,5,1.3459767213439484,-0.04045338978720581
ICIR + weekly 8w_mean eta=2.0 clip_0.7,10,1.3241620336186948,-0.05368095086798674
ICIR + weekly 8w_mean eta=2.0 clip_0.7,20,1.2815718348459493,-0.07960132683926413
ICIR + weekly 8w_mean eta=2.0 clip_0.8,0,1.3791455361928031,-0.04085221228142133
ICIR + weekly 8w_mean eta=2.0 clip_0.8,5,1.3569546532827348,-0.041526911243884634
ICIR + weekly 8w_mean eta=2.0 clip_0.8,10,1.3351154174343192,-0.04360430482190292
ICIR + weekly 8w_mean eta=2.0 clip_0.8,20,1.292470023775918,-0.06975778537144606
ICIR + weekly 8w_mean eta=2.0 no_clip,0,1.4811165386867648,-0.03888204028376441
ICIR + weekly 8w_mean eta=2.0 no_clip,5,1.455108131125998,-0.03955776144453027
ICIR + weekly 8w_mean eta=2.0 no_clip,10,1.4295493637249579,-0.04023312762268694
ICIR + weekly 8w_mean eta=2.0 no_clip,20,1.3797502706632219,-0.041582795526594385
"ICIR + weekly EOT drift, previous",0,1.4994277036534012,-0.03888204028376463
"ICIR + weekly EOT drift, previous",5,1.4741468994844837,-0.03955776144453038
"ICIR + weekly EOT drift, previous",10,1.4492856806350913,-0.04023312762268694
"ICIR + weekly EOT drift, previous",20,1.4007946939843003,-0.041582795526594385
ICIR + weekly ewma_hl12 eta=0.5 clip_0.5,0,1.351436921061215,-0.04090968359604452
ICIR + weekly ewma_hl12 eta=0.5 clip_0.5,5,1.329213895924099,-0.04159391831444381
ICIR + weekly ewma_hl12 eta=0.5 clip_0.5,10,1.307350687047181,-0.0547368160081948
ICIR + weekly ewma_hl12 eta=0.5 clip_0.5,20,1.264680867549454,-0.08120491620080117
ICIR + weekly ewma_hl12 eta=0.5 clip_0.7,0,1.363283787357752,-0.04090968359604441
ICIR + weekly ewma_hl12 eta=0.5 clip_0.7,5,1.3410198363286263,-0.041604655678251445
ICIR + weekly ewma_hl12 eta=0.5 clip_0.7,10,1.3191139559845406,-0.04623153493858756
ICIR + weekly ewma_hl12 eta=0.5 clip_0.7,20,1.276353814823557,-0.0727244790849344
ICIR + weekly ewma_hl12 eta=0.5 clip_0.8,0,1.4155899569385697,-0.04090968359604452
ICIR + weekly ewma_hl12 eta=0.5 clip_0.8,5,1.3926708875917706,-0.04159391831444381
ICIR + weekly ewma_hl12 eta=0.5 clip_0.8,10,1.3701172819044891,-0.04227778729637455
ICIR + weekly ewma_hl12 eta=0.5 clip_0.8,20,1.3260835964104885,-0.04364442857156925
ICIR + weekly ewma_hl12 eta=0.5 no_clip,0,1.3554311438153135,-0.04090968359604452
ICIR + weekly ewma_hl12 eta=0.5 no_clip,5,1.333087342206008,-0.041593918314444034
ICIR + weekly ewma_hl12 eta=0.5 no_clip,10,1.3111061967515283,-0.052021442776042814
ICIR + weekly ewma_hl12 eta=0.5 no_clip,20,1.2682087879748203,-0.07864186964412945
ICIR + weekly ewma_hl12 eta=1.0 clip_0.5,0,1.3879755329259118,-0.03800680641134346
ICIR + weekly ewma_hl12 eta=1.0 clip_0.5,5,1.3650753201021162,-0.0387022323163414
