strategy_name,signal_name,eta,clip_scheme,clip_lower,cost_bps,annual_return,annual_volatility,sharpe,max_drawdown,calmar,monthly_win_rate,average_turnover,start_date,end_date,notes
ICIR + weekly 8w_mean eta=0.5 clip_0.5,8w_mean,0.5,clip_0.5,0.5,0,0.06243332201358709,0.17743444913394946,0.42736282781625645,-0.32447131093694015,0.19241553847489704,0.5342465753424658,0.47566364832443303,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 8w_mean eta=0.5 clip_0.7,8w_mean,0.5,clip_0.7,0.7,0,0.06638236845956369,0.17379557665966425,0.4541504415137265,-0.30000470202971874,0.22127109345435456,0.5342465753424658,0.47041637644145184,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 8w_mean eta=0.5 clip_0.8,8w_mean,0.5,clip_0.8,0.8,0,0.06170204817562985,0.17393195313156015,0.42853408936437043,-0.31066895866999134,0.19861027776892562,0.5205479452054794,0.4658308180481387,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 8w_mean eta=0.5 no_clip,8w_mean,0.5,no_clip,0.0,0,0.062313845594424544,0.17787714081793846,0.42611232077541206,-0.32444577175882305,0.19206243698791542,0.5342465753424658,0.47771070350592054,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 8w_mean eta=1.0 clip_0.5,8w_mean,1.0,clip_0.5,0.5,0,0.06615732498814486,0.17612267970059828,0.4491993604316125,-0.3103229293136922,0.21318864556498576,0.5342465753424658,0.4768245491834997,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 8w_mean eta=1.0 clip_0.7,8w_mean,1.0,clip_0.7,0.7,0,0.06584989051557666,0.1726163627134075,0.4532544187295505,-0.3001102732449781,0.21941898157489537,0.5342465753424658,0.4665350979026391,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 8w_mean eta=1.0 clip_0.8,8w_mean,1.0,clip_0.8,0.8,0,0.06418953466876753,0.17334955663309604,0.4429228265149058,-0.30679338866795725,0.20922724230618908,0.5205479452054794,0.46674406005727104,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 8w_mean eta=1.0 no_clip,8w_mean,1.0,no_clip,0.0,0,0.0667594722294913,0.1785648373089066,0.4485120634216704,-0.3186210481055033,0.20952624638716771,0.5342465753424658,0.4861891494466371,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 8w_mean eta=1.5 clip_0.5,8w_mean,1.5,clip_0.5,0.5,0,0.06860162745943121,0.17632632478447643,0.4619426074297277,-0.3009655038049148,0.2279385065469119,0.5342465753424658,0.4745375744911385,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 8w_mean eta=1.5 clip_0.7,8w_mean,1.5,clip_0.7,0.7,0,0.06440835075915019,0.17285567112102948,0.4449894916357841,-0.30231339953868486,0.2130515910225419,0.5342465753424658,0.46721229007042797,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 8w_mean eta=1.5 clip_0.8,8w_mean,1.5,clip_0.8,0.8,0,0.0649993024141029,0.17287719309577693,0.44808427495290026,-0.30211661189228645,0.21514640326125822,0.5205479452054794,0.46651187988545784,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 8w_mean eta=1.5 no_clip,8w_mean,1.5,no_clip,0.0,0,0.07219361793655077,0.17884356155565226,0.4765290031157999,-0.29558627449146546,0.24423873557983908,0.5342465753424658,0.48894822382168557,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 8w_mean eta=2.0 clip_0.5,8w_mean,2.0,clip_0.5,0.5,0,0.06888767442534682,0.17630403480883386,0.46353051370530607,-0.30043189149751015,0.22929547885870077,0.5342465753424658,0.47247504063153006,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 8w_mean eta=2.0 clip_0.7,8w_mean,2.0,clip_0.7,0.7,0,0.06339135526010287,0.17279633892075633,0.43951147955011394,-0.3039077174282685,0.20858751398791037,0.5342465753424658,0.4674406005727112,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 8w_mean eta=2.0 clip_0.8,8w_mean,2.0,clip_0.8,0.8,0,0.06505101889176479,0.17278078893994084,0.44850750305823645,-0.30124575266146425,0.21594003672100967,0.5205479452054794,0.466968500890024,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 8w_mean eta=2.0 no_clip,8w_mean,2.0,no_clip,0.0,0,0.07689204691411256,0.17869508957447125,0.5014924870368687,-0.28120895249755984,0.2734338513450413,0.547945205479452,0.4857286587725408,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
"ICIR + weekly EOT drift, previous",previous_weekly_4w,1.0,no_clip,0.0,0,0.0741492757616311,0.17960562519041137,0.48541392600149313,-0.30560396095382936,0.2426319198553633,0.5342465753424658,0.48574800712019195,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly ewma_hl12 eta=0.5 clip_0.5,ewma_hl12,0.5,clip_0.5,0.5,0,0.06714925344131184,0.17319360395295488,0.4592170282013818,-0.28356906577825114,0.23680034794000432,0.5342465753424658,0.47406160513892115,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly ewma_hl12 eta=0.5 clip_0.7,ewma_hl12,0.5,clip_0.7,0.7,0,0.0689546794509015,0.17281728511614317,0.46965321376291785,-0.28366781242694716,0.24308249448872302,0.5342465753424658,0.4722428604597167,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly ewma_hl12 eta=0.5 clip_0.8,ewma_hl12,0.5,clip_0.8,0.8,0,0.06314101738871614,0.1734695811164431,0.4369937567613392,-0.3011396312068263,0.2096735562027375,0.5205479452054794,0.4699520160978253,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly ewma_hl12 eta=0.5 no_clip,ewma_hl12,0.5,no_clip,0.0,0,0.06708351784946354,0.17320438343392913,0.4588413293638711,-0.28356906577825114,0.23656853283821283,0.5342465753424658,0.47406160513892115,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly ewma_hl12 eta=1.0 clip_0.5,ewma_hl12,1.0,clip_0.5,0.5,0,0.0667557195610875,0.1750912355888468,0.45401940671091057,-0.29208667941551436,0.22854763419773305,0.5342465753424658,0.4783840260041792,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly ewma_hl12 eta=1.0 clip_0.7,ewma_hl12,1.0,clip_0.7,0.7,0,0.06911604877528155,0.17323242379317985,0.4698464386243007,-0.28723202194609354,0.24062793663114954,0.5342465753424658,0.4731444934602585,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly ewma_hl12 eta=1.0 clip_0.8,ewma_hl12,1.0,clip_0.8,0.8,0,0.06362701357474299,0.17368979293597245,0.4392926956351702,-0.30637440491487333,0.2076773142731093,0.5205479452054794,0.4683422335732528,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly ewma_hl12 eta=1.0 no_clip,ewma_hl12,1.0,no_clip,0.0,0,0.06487737637319801,0.17626605633811762,0.4421713923154293,-0.29692293921263346,0.21849903730993922,0.547945205479452,0.481812553207956,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly ewma_hl12 eta=1.5 clip_0.5,ewma_hl12,1.5,clip_0.5,0.5,0,0.06586962253680384,0.17550800692316107,0.4485680439611226,-0.296544679828325,0.2221237709438488,0.5342465753424658,0.4804465598637876,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly ewma_hl12 eta=1.5 clip_0.7,ewma_hl12,1.5,clip_0.7,0.7,0,0.06987755279288566,0.17347286704709458,0.4735458829992764,-0.2856339931816714,0.24464018450507583,0.5342465753424658,0.471550189613807,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly ewma_hl12 eta=1.5 clip_0.8,ewma_hl12,1.5,clip_0.8,0.8,0,0.06451713084478317,0.17389980212876205,0.4437949443510767,-0.30389009843058123,0.21230415593656157,0.5205479452054794,0.4685705440755359,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly ewma_hl12 eta=1.5 no_clip,ewma_hl12,1.5,no_clip,0.0,0,0.06760062998319971,0.17579545222219506,0.4573898977440521,-0.2889053029617721,0.23398888594351838,0.5342465753424658,0.48271418620849776,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly ewma_hl12 eta=2.0 clip_0.5,ewma_hl12,2.0,clip_0.5,0.5,0,0.06633262369485782,0.1759941813618687,0.450265412386239,-0.30132553274006335,0.22013608701417034,0.5205479452054794,0.48365451590434183,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly ewma_hl12 eta=2.0 clip_0.7,ewma_hl12,2.0,clip_0.7,0.7,0,0.06955046658066943,0.17365646447783967,0.47145341942655566,-0.28582435472545353,0.24333289109486705,0.5342465753424658,0.47155405928333716,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
