date,factor_name,raw_coverage,post_filter_coverage,post_neutralization_coverage,cross_section_std
2018-06-15,momentum_12m,0.99644128113879,0.99644128113879,0.99644128113879,0.9999999999999998
2018-06-15,momentum_1m,1.0,1.0,1.0,1.0000000000000002
2018-06-15,momentum_3m,1.0,1.0,1.0,0.9999999999999999
2018-06-15,momentum_6m,1.0,1.0,1.0,0.9999999999999999
2018-06-15,reversal_1m,1.0,1.0,1.0,1.0000000000000002
2018-06-15,turnover_1m,0.9893238434163701,0.9893238434163701,0.9893238434163701,1.0
2018-06-15,turnover_3m,0.9857651245551602,0.9857651245551602,0.9857651245551602,1.0000000000000004
2018-06-15,volatility_1m,1.0,1.0,1.0,0.9999999999999991
2018-06-15,volatility_3m,1.0,1.0,1.0,1.0000000000000004
2018-06-22,liquidity_1m,1.0,1.0,1.0,0.9999999999999996
2018-06-22,momentum_12m,0.9964285714285714,0.9964285714285714,0.9964285714285714,0.9999999999999997
2018-06-22,momentum_1m,1.0,1.0,1.0,0.9999999999999998
2018-06-22,momentum_3m,1.0,1.0,1.0,1.0
2018-06-22,momentum_6m,1.0,1.0,1.0,1.0000000000000002
2018-06-22,reversal_1m,1.0,1.0,1.0,0.9999999999999998
2018-06-22,turnover_1m,0.9821428571428571,0.9821428571428571,0.9821428571428571,1.0000000000000002
2018-06-22,turnover_3m,0.9857142857142858,0.9857142857142858,0.9857142857142858,1.0000000000000004
2018-06-22,volatility_1m,1.0,1.0,1.0,1.0000000000000002
2018-06-22,volatility_3m,1.0,1.0,1.0,1.0000000000000002
2018-06-29,liquidity_1m,1.0,1.0,1.0,0.9999999999999994
2018-06-29,momentum_12m,0.9721254355400697,0.9721254355400697,0.9721254355400697,0.9999999999999996
2018-06-29,momentum_1m,1.0,1.0,1.0,0.9999999999999993
2018-06-29,momentum_3m,1.0,1.0,1.0,0.9999999999999994
2018-06-29,momentum_6m,0.9895470383275261,0.9895470383275261,0.9895470383275261,1.0000000000000004
2018-06-29,reversal_1m,1.0,1.0,1.0,0.9999999999999993
